iter	RMSE
0	25.94762807
1	25.05878319
2	24.32672985
3	23.67917949
4	23.14733398
5	22.61514395
6	22.12232718
7	21.70076699
8	21.32820686
9	21.02179022
10	20.71058525
11	20.37949956
12	20.10571786
13	19.83171131
14	19.64703358
15	19.40865111
16	19.24374574
17	19.08286939
18	18.90893288
19	18.73043147
20	18.53409252
21	18.40473778
22	18.2755987
23	18.16112245
24	18.05287384
25	17.95168329
26	17.81407827
27	17.73246346
28	17.59844862
29	17.52458452
30	17.44843543
31	17.31810122
32	17.21678028
33	17.12731813
34	17.04185504
35	16.97086441
36	16.90569441
37	16.81456128
38	16.75056907
39	16.66585679
40	16.57380382
41	16.48687001
42	16.44087092
43	16.37418545
44	16.31434155
45	16.26932391
46	16.19520507
47	16.13032316
48	16.06142194
49	15.99860677
50	15.91932394
51	15.85430877
52	15.79417944
53	15.75184678
54	15.68497217
55	15.63008565
56	15.57846545
57	15.5283923
58	15.49690323
59	15.40000073
60	15.32259342
61	15.25576169
62	15.22088203
63	15.1519428
64	15.10379959
65	15.06058417
66	14.99011533
67	14.95296398
68	14.90655955
69	14.85214146
70	14.81108177
71	14.72654743
72	14.67839595
73	14.62964151
74	14.57671234
