iter	Passed	Remaining
0	9	707
1	14	547
2	19	478
3	25	452
4	31	435
5	38	438
6	43	424
7	48	409
8	54	398
9	59	387
10	65	383
11	71	376
12	77	369
13	82	361
14	88	352
15	95	350
16	100	344
17	107	339
18	112	332
19	118	326
20	124	319
21	131	315
22	136	308
23	142	302
24	146	293
25	152	286
26	156	279
27	163	274
28	167	265
29	172	258
30	177	251
31	182	245
32	187	238
33	193	232
34	197	226
35	203	220
36	207	213
37	214	208
38	219	202
39	224	196
40	229	190
41	234	184
42	240	179
43	245	172
44	250	167
45	255	160
46	261	155
47	266	149
48	273	144
49	277	138
50	282	132
51	287	127
52	292	121
53	297	115
54	303	110
55	308	104
56	312	98
57	317	93
58	322	87
59	327	81
60	333	76
61	338	70
62	342	65
63	347	59
64	352	54
65	357	48
66	362	43
67	368	37
68	373	32
69	378	27
70	383	21
71	388	16
72	395	10
73	399	5
74	405	0
